"gene_id","baseMean_clay","baseMean_sandy","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g3089",3.7990301672072,0.217104532819115,2.00806735001316,3.28245524632924,0.963766415476403,3.40586182877795,0.000659555502787868,0.0095305770152847
"g3101",2.24424442520121,0.197454551925911,1.22084948856356,2.51038042588871,1.02185279059753,2.45669478910046,0.0140221760911713,0.0471210336087035
"g3104",3.02651216945751,1.46428094594252,2.24539655770002,0.891690868401426,0.847303681079803,1.05238639735998,0.292622306988289,0.36609457454379
"g3106",1.9271219186687,0.831287080953802,1.37920449981125,1.31442166445752,1.04244076330384,1.26090777598881,0.20734207627562,0.276137603887807
"g3130",2.18529654566265,0.516583533152859,1.35094003940775,1.99601048331207,1.02174084761617,1.95353889194992,0.0507557735076664,0.109465810027728
"g3139",4.24679509467,1.58220094122724,2.91449801794862,1.34135331650269,0.684373756298576,1.95997187816987,0.0499990773196465,0.108644611619382
"g3141",2.42545771777213,0.170726100157791,1.29809190896496,2.60595705852773,1.01649132164868,2.56367860996692,0.0103569397326159,0.0404480484152161
"g3144",2.2212886101346,0.626746044851619,1.42401732749311,1.56709373024353,0.966352505582059,1.62165847471946,0.104876494710329,0.171887746553035
"g3157",2.58109234031741,0.524532301727641,1.55281232102253,2.22550767556514,0.984666964737037,2.26016283196774,0.0238111467152417,0.0626748805152935
"g3167",3.24889578611728,0.542777307220492,1.89583654666889,2.42566419606501,0.952489773725356,2.54665641876427,0.0108760456902901,0.0415612663958794
"g3168",15.6027231484897,3.52178044261807,9.56225179555389,2.29090270953571,0.500480248147343,4.57740883484628,4.70770841848533e-06,0.000272105546588452
"g3170",4.97180906584605,1.67098228173139,3.32139567378872,1.82868869523368,0.735125703636615,2.48758638990214,0.0128613212650126,0.0451431541399172
"g3171",2.18952050375564,1.13592014627105,1.66272032501334,1.34479290338159,0.978782182235798,1.37394501840003,0.169458752156286,0.240066565554739
"g3176",1.28930227145837,1.2077813116378,1.24854179154808,-0.084161139041635,0.985846938448161,-0.0853693770902352,0.931967737806191,0.941743623167795
"g3191",2.4583183683599,0.169350455728115,1.31383441204401,2.51855136208063,1.03505473097204,2.43325428764082,0.0149637878045611,0.0483653637684908
"g3201",11.271343736931,2.19082591790731,6.73108482741913,2.4003774235062,0.632944944705038,3.79239528427676,0.000149201171764776,0.00287460924266801
"g3274",3.45501025421098,1.39686037301376,2.42593531361237,1.21950003337767,0.786896072954068,1.54975996868248,0.121199138559196,0.187307759591485
"g3276",2.22963910789135,2.38013749524973,2.30488830157054,0.476054051404479,0.915716272185774,0.519870691243871,0.603153704390509,0.660236106221215
"g3320",1.96960460932226,0.52343971772788,1.24652216352507,1.75826774706815,1.11489911082153,1.57706444466759,0.114780697328351,0.181758916968316
"g3336",2.323502418468,3.86369674670383,3.09359958258592,-0.763483032125353,0.615108410332901,-1.24121702662487,0.214525586561138,0.28439401154206
"g3352",3.63319426228416,0.168679961846532,1.90093711206535,3.17476932274539,1.02920216065395,3.08468971803184,0.00203764607358271,0.0184024911020439
"g3377",1.87328060849547,0.829882874788549,1.35158174164201,1.24890054898023,1.04596271853436,1.19402013747701,0.232470090942098,0.302629983253452
"g3403",2.17553498773624,0.286063056619258,1.23079902217775,2.42055520473357,1.03335798625322,2.34241689417828,0.0191593003676762,0.0546658704121465
